,,,,,,,,,,,,,,,,,,,,,,
,Date,Month,Course,Course Par,Eagles,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys,Other,Score,Holes,Score to Par,GIR ,Up/Down Chances,Up/Down Successes,Putts,Putts Per Hole,3 Putts,Lost Balls,Penalty Strokes
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Totals,,86,,3,121,715,381,47,2,0,,1269,,,,,,,,,
,Scratch Goals,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,3/10/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,3/11/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,3/18/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,3/26/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/1/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/3/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/9/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/15/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,4/22/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,4/25/25: Post Work,,Presidents,,,,,,,,,,,,,,,,,,,
,5/7/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,5/12/25: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,5/13/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,5/24/25: Gov Cup 1,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,5/25/25: Gov Cup 2,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,6/20/25: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/6/2025: Sunday ,,Granite,,,,,,,,,,,,,,,,,,,
,7/8/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/13/2024: Sum HI-Lo,7,Furnace Brook,70,0,4,12,2,0,0,0,68,18,-2,12,6,4,29,1.61,0,0,0
,7/15/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/22/2025: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,7/29/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,7/29/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,8/20/2025: Post Work,,Furnace Brook,,,,,,,,,,,,,,,,,,,
,9/4/2025: Post Work (Dad),,Furnace Brook,,,,,,,,,,,,,,,,,,,
,9/9/2025: Post Work,,Granite,,,,,,,,,,,,,,,,,,,
,10/10/2025: Dodo,,George Wright,,,,,,,,,,,,,,,,,,,
